iter	Passed	Remaining
377	1583	1768
378	1588	1764
379	1593	1761
380	1597	1756
381	1602	1753
382	1607	1749
383	1611	1746
384	1616	1742
385	1622	1740
386	1626	1735
387	1631	1732
388	1635	1727
389	1640	1724
390	1644	1719
391	1649	1716
392	1654	1713
393	1658	1709
394	1662	1704
395	1667	1701
396	1671	1696
397	1676	1693
398	1680	1689
399	1685	1685
400	1690	1681
401	1694	1678
402	1698	1673
403	1704	1670
404	1707	1665
405	1712	1662
406	1717	1657
407	1720	1653
408	1725	1649
409	1729	1645
410	1735	1642
411	1739	1637
412	1744	1634
413	1747	1629
414	1752	1626
415	1756	1621
416	1762	1618
417	1765	1613
418	1770	1610
419	1774	1605
420	1779	1602
421	1783	1597
422	1788	1594
423	1792	1589
424	1797	1585
425	1802	1582
426	1807	1578
427	1811	1574
428	1815	1570
429	1819	1565
430	1824	1561
431	1827	1557
432	1833	1554
433	1837	1549
434	1842	1545
435	1846	1541
436	1849	1536
437	1854	1533
438	1858	1528
439	1863	1524
440	1867	1519
441	1872	1516
442	1875	1511
443	1880	1507
444	1883	1502
445	1888	1499
446	1892	1494
447	1898	1491
448	1903	1487
449	1908	1484
450	1913	1480
451	1918	1476
452	1922	1472
453	1928	1469
454	1931	1464
455	1937	1461
456	1940	1456
457	1947	1454
458	1951	1449
459	1956	1446
460	1960	1441
461	1965	1438
462	1969	1433
463	1974	1429
464	1978	1425
465	1982	1421
466	1987	1416
467	1991	1412
468	1996	1409
469	2000	1404
470	2005	1400
471	2009	1396
472	2014	1392
473	2018	1388
474	2022	1383
475	2027	1380
476	2031	1375
477	2036	1372
478	2042	1368
479	2048	1365
480	2053	1361
481	2060	1359
482	2064	1354
483	2068	1350
484	2073	1346
485	2077	1342
486	2082	1338
487	2087	1334
488	2092	1330
489	2097	1326
490	2101	1322
491	2106	1318
492	2112	1315
493	2116	1310
494	2121	1307
495	2125	1302
496	2129	1298
497	2132	1293
498	2138	1289
499	2142	1285
500	2146	1281
501	2154	1279
502	2158	1274
503	2165	1271
504	2171	1268
505	2176	1264
506	2179	1259
507	2185	1256
508	2188	1251
509	2194	1247
510	2199	1243
511	2202	1239
512	2207	1234
513	2210	1229
514	2215	1225
515	2218	1221
516	2223	1217
517	2227	1212
518	2233	1209
519	2237	1204
520	2240	1200
521	2246	1196
522	2251	1192
523	2255	1188
524	2259	1183
525	2265	1179
526	2269	1175
527	2273	1171
528	2278	1167
529	2283	1163
530	2288	1159
531	2291	1154
532	2297	1150
533	2301	1146
534	2305	1141
535	2310	1138
536	2314	1133
537	2320	1129
538	2323	1125
539	2328	1121
540	2332	1116
541	2336	1112
542	2341	1108
543	2345	1103
544	2350	1099
545	2354	1095
546	2359	1091
547	2363	1086
548	2369	1083
549	2372	1078
550	2379	1075
551	2385	1071
552	2391	1068
553	2395	1063
554	2401	1059
555	2404	1055
556	2410	1051
557	2414	1047
558	2419	1043
559	2425	1039
560	2429	1034
561	2434	1030
562	2437	1026
563	2443	1022
564	2446	1017
565	2451	1013
566	2455	1009
567	2460	1005
568	2464	1000
569	2469	996
570	2473	992
571	2478	987
572	2482	983
573	2486	978
574	2491	974
575	2496	970
576	2500	966
577	2505	962
578	2508	957
579	2513	953
580	2517	949
581	2523	945
582	2526	940
583	2531	936
584	2534	931
585	2539	927
586	2543	922
587	2548	918
588	2551	914
589	2556	909
590	2559	905
591	2564	901
592	2570	897
593	2574	892
594	2579	888
595	2582	884
596	2588	880
597	2592	875
598	2596	871
599	2600	866
600	2605	862
601	2609	858
602	2614	854
603	2619	849
604	2625	846
605	2629	841
606	2634	837
607	2638	833
608	2643	829
609	2647	824
610	2653	820
611	2656	816
612	2662	812
613	2666	807
614	2671	803
615	2676	799
616	2679	794
617	2685	790
618	2689	786
619	2693	782
620	2697	777
621	2703	773
622	2707	769
623	2712	764
624	2716	760
625	2721	756
626	2724	751
627	2729	747
628	2734	743
629	2740	739
630	2744	734
631	2749	730
632	2752	726
633	2757	722
634	2761	717
635	2767	713
636	2770	708
637	2774	704
638	2779	700
639	2782	695
640	2787	691
641	2791	687
642	2797	683
643	2802	678
644	2805	674
645	2811	670
646	2815	665
647	2820	661
648	2823	657
649	2829	652
650	2833	648
651	2838	644
652	2842	639
653	2846	635
654	2851	631
655	2855	626
656	2860	622
657	2865	618
658	2871	614
659	2876	610
660	2882	606
661	2886	601
662	2890	597
663	2895	593
664	2899	588
665	2904	584
666	2907	579
667	2912	575
668	2916	571
669	2920	566
670	2925	562
671	2929	558
672	2934	553
673	2938	549
674	2943	545
675	2947	540
676	2952	536
677	2956	532
678	2961	527
679	2963	522
680	2968	518
681	2973	514
682	2978	510
683	2982	505
684	2988	501
685	2992	497
686	2997	493
687	3003	488
688	3009	484
689	3014	480
690	3020	476
691	3025	472
692	3029	467
693	3035	463
694	3040	459
695	3045	455
696	3049	450
697	3054	446
698	3058	441
699	3063	437
700	3067	433
701	3072	428
702	3076	424
703	3083	420
704	3086	415
705	3092	411
706	3096	407
707	3101	403
708	3106	398
709	3111	394
710	3115	390
711	3121	385
712	3124	381
713	3129	376
714	3133	372
715	3137	368
716	3142	363
717	3146	359
718	3151	355
719	3156	350
720	3160	346
721	3165	341
722	3169	337
723	3174	333
724	3178	328
725	3182	324
726	3187	320
727	3190	315
728	3196	311
729	3200	306
730	3206	302
731	3209	298
732	3214	293
733	3218	289
734	3221	284
735	3226	280
736	3230	276
737	3235	271
738	3239	267
739	3244	263
740	3249	258
741	3253	254
742	3258	250
743	3263	245
744	3268	241
745	3272	236
746	3278	232
747	3282	228
748	3287	223
749	3292	219
750	3296	215
751	3301	210
752	3305	206
753	3310	201
754	3314	197
755	3319	193
756	3323	188
757	3328	184
758	3332	180
759	3336	175
760	3341	171
761	3345	166
762	3351	162
763	3355	158
764	3361	153
765	3365	149
766	3370	145
767	3376	140
768	3382	136
769	3385	131
770	3390	127
771	3394	123
772	3398	118
773	3404	114
774	3408	109
775	3414	105
776	3417	101
777	3423	96
778	3426	92
779	3431	87
780	3435	83
781	3440	79
782	3444	74
783	3449	70
784	3454	66
785	3459	61
786	3462	57
787	3468	52
788	3472	48
789	3477	44
790	3481	39
791	3486	35
792	3490	30
793	3496	26
794	3501	22
795	3505	17
796	3510	13
797	3514	8
798	3519	4
799	3523	0
