iter	RMSE
229	57.87783655
230	57.80509983
231	57.63968421
232	57.39871684
233	57.15470172
234	57.08929253
235	57.0295412
236	56.87508026
237	56.72779082
238	56.59350322
239	56.41327442
240	56.26858637
241	56.23245138
242	56.10397153
243	55.96301588
244	55.80221307
245	55.66051201
246	55.55458708
247	55.41702381
248	55.22965956
249	55.04861606
250	55.02045026
251	54.91581182
252	54.81963195
253	54.72230106
254	54.62421071
255	54.49756331
256	54.44136057
257	54.3206258
258	54.22932051
259	54.09206067
260	53.89271149
261	53.81103555
262	53.72639036
263	53.64371259
264	53.56877945
265	53.44515811
266	53.31415266
267	53.1564636
268	52.99568672
269	52.91768959
270	52.68239657
271	52.60883661
272	52.53553965
273	52.46351634
274	52.39047253
275	52.27553601
276	52.20657099
277	52.14018795
278	51.98984648
279	51.77239503
280	51.56673219
281	51.37911561
282	51.25712721
283	51.19043713
284	51.15197749
285	51.0236685
286	50.95995156
287	50.93768052
288	50.81980441
289	50.68282079
290	50.55052549
291	50.48456299
292	50.42273817
293	50.36313183
294	50.3039838
295	50.24702624
296	50.07966163
297	49.97777984
298	49.8909105
299	49.81762796
300	49.74673561
301	49.67803474
302	49.55830142
303	49.39299092
304	49.27832712
305	49.24314639
306	49.20528648
307	49.14268229
308	49.03177266
309	48.99806432
310	48.93735739
311	48.80533855
312	48.69798465
313	48.58744604
314	48.52829519
315	48.39724752
316	48.28865422
317	48.2392613
318	48.1907966
319	48.07019822
320	48.0258926
321	47.92271387
322	47.87568319
323	47.77619066
324	47.60356913
325	47.49547781
326	47.45294807
327	47.32583448
328	47.26328998
329	47.21152544
330	47.11203292
331	47.06120547
332	47.01529267
333	46.93468309
334	46.83266128
335	46.73880142
336	46.69116526
337	46.5937157
338	46.48811095
339	46.34108604
340	46.26158649
341	46.18879662
342	46.10230937
343	45.98621177
344	45.87525353
345	45.76084919
346	45.66450051
347	45.56690877
348	45.53187792
349	45.44322613
350	45.40736796
351	45.34293813
352	45.2546159
353	45.15015496
354	45.11543461
355	45.02948172
356	44.90407138
357	44.84703965
358	44.8144517
359	44.7000464
360	44.60085178
361	44.52255939
362	44.41852005
363	44.2401246
364	44.09810008
365	44.01163462
366	43.84350498
367	43.78040403
368	43.7137664
369	43.70170922
370	43.63734203
371	43.60361194
372	43.57070769
373	43.49028701
374	43.40034653
375	43.36818881
376	43.35040486
377	43.2724718
378	43.25717216
379	43.20299821
380	43.17197731
381	43.01544369
382	42.91897751
383	42.84860154
384	42.79895155
385	42.70666054
386	42.63059509
387	42.58540998
388	42.48216692
389	42.39191498
390	42.33200714
391	42.20831429
392	42.14887612
393	42.10583375
394	42.06388373
395	41.99431336
396	41.90431663
397	41.80366225
398	41.72908938
399	41.67840012
400	41.6021049
401	41.47589282
402	41.44551993
403	41.34284615
404	41.2350386
405	41.16334854
406	41.08696305
407	40.93788133
408	40.85683132
409	40.81220851
410	40.68501276
411	40.57516759
412	40.49779278
413	40.43534448
414	40.38412206
415	40.29479622
416	40.23868903
417	40.20328326
418	40.13069698
419	40.10410308
420	40.05002842
421	39.97140614
422	39.84282086
423	39.81703777
424	39.73359203
425	39.64360585
426	39.55623461
427	39.47659487
428	39.43788594
429	39.3354419
430	39.30907686
431	39.23462395
432	39.15050867
433	39.03363996
434	38.96486001
435	38.92305131
436	38.88264416
437	38.84268868
438	38.73870229
439	38.71399967
440	38.67143124
441	38.56444966
442	38.51036518
443	38.45919872
444	38.43575257
445	38.41249264
446	38.39026362
447	38.32819434
448	38.2772846
449	38.20414666
450	38.16349137
451	38.11226233
452	38.08857544
453	37.98887627
454	37.9530128
455	37.92669407
456	37.90955921
457	37.87458379
458	37.8629467
459	37.80292159
460	37.73958306
461	37.71546373
462	37.63511773
463	37.55883256
464	37.51091336
465	37.46193909
466	37.39183054
467	37.38791675
468	37.2834823
469	37.26982298
470	37.23839658
471	37.14718866
472	37.09181647
473	37.04395725
474	37.00839315
475	36.95915107
476	36.90455546
477	36.82403984
478	36.74914561
479	36.7020284
480	36.63668291
481	36.54098283
482	36.50848701
483	36.4780566
484	36.44716996
485	36.36930791
486	36.33723696
487	36.31976928
488	36.26156647
489	36.17377973
490	36.07908169
491	36.04891521
492	36.01958438
493	35.93822575
494	35.90965208
495	35.86739008
496	35.83959028
497	35.8132697
498	35.77484052
499	35.74941388
500	35.71706887
501	35.68632971
502	35.61916719
503	35.60471098
504	35.57040952
505	35.52257448
506	35.44899287
507	35.42356647
508	35.37732038
509	35.3373127
510	35.26069871
511	35.19705951
512	35.16334648
513	35.14021046
514	35.09922266
515	35.03548074
516	35.01696276
517	34.96717894
518	34.89805168
519	34.848425
520	34.83069757
521	34.78349772
522	34.77268277
523	34.71999062
524	34.65759703
525	34.62264606
526	34.60107357
527	34.54346914
528	34.47146581
529	34.42159838
530	34.38447856
531	34.35674412
532	34.32018007
533	34.28514098
534	34.22959165
535	34.20707222
536	34.12447395
537	34.05423888
538	33.98175455
539	33.94794756
540	33.89997173
541	33.87403553
542	33.83805547
543	33.82289593
544	33.76238937
545	33.72524009
546	33.65862696
547	33.59510304
548	33.58936587
549	33.52637372
550	33.52098652
551	33.51272281
552	33.50277391
553	33.48527837
554	33.42962906
555	33.37766675
556	33.31352092
557	33.24091029
558	33.21321368
559	33.1573702
560	33.15218448
561	33.1314099
562	33.06339022
563	33.02065019
564	33.00101521
565	32.99505465
566	32.97681786
567	32.95099139
568	32.89278221
569	32.83924955
570	32.82050501
571	32.75457533
572	32.72700105
573	32.70978115
574	32.68481655
575	32.66785207
576	32.63733799
577	32.61978097
578	32.58246281
579	32.54689495
580	32.52848083
581	32.46361853
582	32.42278742
583	32.36715902
584	32.3275257
585	32.27527352
586	32.26288375
587	32.23133462
588	32.21469871
589	32.1755456
590	32.11092598
591	32.02931898
592	31.95791901
593	31.93382051
594	31.89745772
595	31.82190389
596	31.78900602
597	31.74857377
598	31.67209124
599	31.63156157
600	31.61413695
601	31.56584627
602	31.49362936
603	31.465779
604	31.44051836
605	31.39351942
606	31.3510274
607	31.30571738
608	31.2764357
609	31.20225541
610	31.16899924
611	31.1380725
612	31.13187413
613	31.09323232
614	31.07010957
615	31.05897954
616	31.02575443
617	30.98596414
618	30.96742572
619	30.93244713
620	30.86216154
621	30.83917604
622	30.81077958
623	30.79570036
624	30.74597677
625	30.69193199
626	30.6689881
627	30.64076068
628	30.60584774
629	30.56167816
630	30.53190052
631	30.47977309
632	30.45177908
633	30.43730113
634	30.39949609
635	30.3758609
636	30.36179156
637	30.3312499
638	30.30808569
639	30.28508495
640	30.25754261
641	30.22652196
642	30.20353589
643	30.17717429
644	30.15231639
645	30.1349019
646	30.10977989
647	30.09631342
648	30.07185888
649	30.02058321
650	30.00389023
651	29.95807499
652	29.93261197
653	29.90213416
654	29.89078985
655	29.8765712
656	29.8229438
657	29.80305729
658	29.78746276
659	29.74399649
660	29.7013635
661	29.6420812
662	29.62048135
663	29.61079723
664	29.58627879
665	29.52185943
666	29.47835827
667	29.46091412
668	29.44662172
669	29.43693566
670	29.40821629
671	29.38523041
672	29.36567335
673	29.34281744
674	29.31115323
675	29.30739686
676	29.2298797
677	29.18174514
678	29.15344039
679	29.11844167
680	29.06908262
681	29.0581328
682	29.01669218
683	29.01386134
684	28.9825552
685	28.95563144
686	28.94176271
687	28.91822563
688	28.91478636
689	28.88872064
690	28.88155386
691	28.8637405
692	28.8189387
693	28.7921998
694	28.73729323
695	28.69714192
696	28.68425523
697	28.62495545
698	28.59192865
699	28.57137551
700	28.55773017
701	28.50491576
702	28.4642125
703	28.45256873
704	28.41925152
705	28.41603176
706	28.39916999
707	28.38412105
708	28.34162411
709	28.32925921
710	28.30851997
711	28.27182989
712	28.20155145
713	28.19959823
714	28.16175902
715	28.13847355
716	28.1351301
717	28.1276313
718	28.11624935
719	28.10510722
720	28.05443405
721	28.02760746
722	28.0088136
723	27.98422328
724	27.96053768
725	27.95623698
726	27.95315767
727	27.93487545
728	27.93177033
729	27.9269164
730	27.86414474
731	27.84648493
732	27.82693914
733	27.76743942
734	27.73748648
735	27.68050489
736	27.67504869
737	27.62540209
738	27.62274013
739	27.59451168
740	27.5611203
741	27.55120594
742	27.49338847
743	27.45138855
744	27.39425229
745	27.34642058
746	27.31596548
747	27.30478823
748	27.28413632
749	27.28230209
750	27.26997194
751	27.23112027
752	27.23045398
753	27.18403245
754	27.14272455
755	27.08858329
756	27.06740361
757	27.0448884
758	27.03687874
759	27.00782761
760	26.96758972
761	26.94427357
762	26.91469134
763	26.87779114
764	26.85182136
765	26.8360694
766	26.79702754
767	26.77815199
768	26.72663343
769	26.71082288
770	26.67659448
771	26.64025788
772	26.61324923
773	26.60468781
774	26.58080183
775	26.55243488
776	26.50661996
777	26.48113869
778	26.45721457
779	26.43551533
780	26.42800972
781	26.34877039
782	26.33125814
783	26.29085722
784	26.25832236
785	26.22013444
786	26.19155279
787	26.16237739
788	26.12165821
789	26.10053632
790	26.06478532
791	26.04092357
792	26.01028879
793	26.00777745
794	25.97608029
795	25.92165938
796	25.89921874
797	25.88633976
798	25.88262286
799	25.86905983
